Trades Summary,,,,,,,,
,,,Risk to Reward Ratio,,,,,
Trades,Date,Time,1.2,1.5,2,2.5,3,Symblos
203,2021-06-20,8.15 AM,miss,miss,miss,miss,miss,ETH
204,2021-06-20,7.30 PM,hit,hit,miss,miss,miss,BTC
205,2021-06-26,4.30 PM,hit,hit,miss,miss,miss,LTC
206,2021-06-27,06.00 AM,miss,miss,miss,miss,miss,BTC
207,2021-06-28,3.30 PM,miss,miss,miss,miss,miss,LTC
208,2021-06-30,1.00 PM,miss,miss,miss,miss,miss,ETH
209,2021-07-02,11.30 PM,miss,miss,miss,miss,miss,ETH
210,2021-07-07,11.45 AM,miss,miss,miss,miss,miss,BTC
211,2021-07-12,5.30 AM,miss,miss,miss,miss,miss,ETH
212,2021-07-13,10.30 AM,hit,hit,miss,miss,miss,ETH
213,2021-07-14,2.30 PM,miss,miss,miss,miss,miss,LTC
214,2021-07-16,9.45 AM,hit,hit,hit,hit,miss,ETH
215,2021-07-16,10.45 PM,hit,hit,hit,miss,miss,ETH
216,2021-07-23,7.45 AM,hit,hit,miss,miss,miss,ETH
217,2021-07-23,11.45 PM,hit,hit,hit,hit,hit,BTC
218,2021-07-30,10.45 AM,hit,hit,hit,hit,hit,BTC
219,2021-08-01,10.15 PM,miss,miss,miss,miss,miss,BTC
220,2021-08-02,8.30 AM,miss,miss,miss,miss,miss,LTC
221,2021-08-03,03.45 AM,miss,miss,miss,miss,miss,BTC
222,2021-08-03,3.30 PM,hit,hit,hit,hit,hit,LTC
223,2021-08-05,3.30 PM,miss,miss,miss,miss,miss,ETH
224,2021-08-07,10.15 AM,miss,miss,miss,miss,miss,ETH
225,2021-08-08,11.45 PM,hit,miss,miss,miss,miss,BTC
226,2021-08-09,9.30 AM,hit,hit,hit,hit,hit,LTC
227,2021-08-11,02.15 AM,hit,hit,hit,miss,miss,BTC
228,2021-08-12,5.30 AM,miss,miss,miss,miss,miss,ETH
229,2021-08-12,06.15 AM,miss,miss,miss,miss,miss,BTC
230,2021-08-14,5.15 PM,miss,miss,miss,miss,miss,ETH
231,2021-08-17,07.30 PM,hit,hit,hit,hit,hit,BTC
232,2021-08-21,5.30 AM,miss,miss,miss,miss,miss,LTC
233,2021-08-23,10.15 PM,miss,miss,miss,miss,miss,BTC
234,2021-08-26,9.45 AM,miss,miss,miss,miss,miss,ETH
235,2021-09-01,04.15 PM,miss,miss,miss,miss,miss,BTC
236,2021-09-04,05.15 AM,hit,miss,miss,miss,miss,BTC
237,2021-09-05,1.30 AM,hit,hit,miss,miss,miss,ETH
238,2021-09-11,8.15 PM,hit,hit,miss,miss,miss,ETH
239,2021-09-16,08.45 PM,miss,miss,miss,miss,miss,BTC
240,2021-09-19,1.30 AM,hit,hit,hit,hit,hit,BTC
241,2021-09-19,02.30 AM,miss,miss,miss,miss,miss,BTC
242,2021-09-21,11.30 PM,miss,miss,miss,miss,miss,BTC
243,2021-09-24,11.15 AM,miss,miss,miss,miss,miss,ETH
244,2021-09-24,6.30 PM,hit,hit,hit,hit,hit,BTC
245,2021-09-26,5.30 PM,miss,miss,miss,miss,miss,LTC
246,2021-09-28,4.30 PM,miss,miss,miss,miss,miss,ETH
247,2021-09-29,11.30 AM,hit,hit,hit,hit,hit,LTC
248,2021-10-02,9.30 PM,miss,miss,miss,miss,miss,ETH
249,2021-10-03,01.30 AM,hit,hit,hit,hit,miss,BTC
250,2021-10-04,2.30 AM,miss,miss,miss,miss,miss,BTC
251,2021-10-13,1.45 PM,hit,hit,hit,hit,hit,ETH
252,2021-10-16,11.15 PM,hit,miss,miss,miss,miss,BTC
253,2021-10-24,5.45 AM,hit,hit,hit,hit,hit,ETH
254,2021-10-26,10.30 PM,hit,hit,hit,hit,hit,LTC
255,2021-11-03,5.30 PM,miss,miss,miss,miss,miss,LTC
256,2021-11-03,8.15 PM,hit,hit,hit,miss,miss,ETH
257,2021-11-04,02.45 PM,hit,miss,miss,miss,miss,BTC
258,2021-11-04,3.15 PM,miss,miss,miss,miss,miss,ETH
259,2021-11-07,12.30 AM,hit,hit,hit,hit,hit,LTC
260,2021-11-12,3.45 PM,miss,miss,miss,miss,miss,ETH
261,2021-11-14,11.15 PM,hit,hit,hit,hit,hit,BTC
262,2021-11-18,6.30 AM,hit,hit,hit,hit,hit,ETH
263,2021-11-20,10.00 PM,hit,hit,hit,hit,miss,ETH
264,2021-11-23,08.45 PM,hit,miss,miss,miss,miss,BTC
265,2021-11-24,9.00 PM,hit,hit,hit,hit,hit,ETH
266,2021-11-28,3.15 AM,miss,miss,miss,miss,miss,ETH
267,2021-12-02,1.30 PM,miss,miss,miss,miss,miss,LTC
268,2021-12-03,8.00 PM,hit,hit,hit,hit,hit,ETH
269,2021-12-05,9.30 PM,miss,miss,miss,miss,miss,ETH
270,2021-12-05,09.30 PM,miss,miss,miss,miss,miss,BTC
271,2021-12-08,7.30 PM,hit,hit,miss,miss,miss,ETH
272,2021-12-10,1.30 PM,hit,hit,miss,miss,miss,BTC
273,2021-12-12,02.30 AM,miss,miss,miss,miss,miss,BTC
274,2021-12-13,2.30 AM,hit,hit,hit,hit,hit,LTC
275,2021-12-16,3.30 AM,miss,miss,miss,miss,miss,LTC
276,2021-12-16,5.30 AM,miss,miss,miss,miss,miss,LTC
277,2021-12-18,04.45 PM,hit,hit,miss,miss,miss,BTC
278,2021-12-19,2.30 PM,miss,miss,miss,miss,miss,LTC
279,2021-12-20,7.30 PM,hit,hit,hit,hit,miss,LTC
280,2021-12-30,06.15 PM,miss,miss,miss,miss,miss,BTC
281,2022-01-02,02.15 PM,hit,hit,hit,hit,miss,BTC
282,2022-01-02,11.30 PM,hit,hit,hit,hit,hit,LTC
283,2022-01-03,7.30 PM,miss,miss,miss,miss,miss,ETH
284,2022-01-05,6.45 PM,miss,miss,miss,miss,miss,ETH
285,2022-01-08,11.45 PM,hit,hit,hit,hit,miss,BTC
286,2022-01-10,9.30 PM,miss,miss,miss,miss,miss,LTC
287,2022-01-16,07.15 AM,miss,miss,miss,miss,miss,BTC
288,2022-01-16,09.45 PM,miss,miss,miss,miss,miss,BTC
289,2022-01-20,10.30 PM,hit,hit,hit,hit,hit,LTC
290,2022-01-31,1.45 AM,hit,miss,miss,miss,miss,ETH
291,2022-01-31,12.30 PM,hit,hit,hit,hit,hit,BTC
292,2022-02-04,6.00 AM,miss,miss,miss,miss,miss,ETH
293,2022-02-08,3.45 PM,miss,miss,miss,miss,miss,ETH
294,2022-02-10,11.00 AM,hit,hit,hit,hit,hit,BTC
295,2022-02-11,8.30 AM,miss,miss,miss,miss,miss,LTC
296,2022-02-13,11.00 PM,miss,miss,miss,miss,miss,ETH
297,2022-02-14,11.45 AM,hit,hit,hit,hit,hit,BTC
298,2022-02-16,09.00 PM,hit,hit,miss,miss,miss,BTC
299,2022-02-17,12.00 PM,miss,miss,miss,miss,miss,BTC
300,2022-02-21,07.00 AM,hit,hit,hit,hit,hit,BTC
301,2022-02-22,6.45 PM,miss,miss,miss,miss,miss,ETH
302,2022-02-23,7.30 PM,hit,hit,hit,hit,hit,LTC
303,2022-03-11,06.15 PM,hit,hit,hit,hit,hit,BTC
304,2022-03-14,6.30 AM,hit,hit,hit,hit,hit,BTC
305,2022-03-19,6.30 AM,miss,miss,miss,miss,miss,BTC
306,2022-03-19,10.30 PM,miss,miss,miss,miss,miss,BTC
307,2022-03-23,6.15 AM,miss,miss,miss,miss,miss,ETH
308,2022-03-23,07.00 AM,miss,miss,miss,miss,miss,BTC
309,2022-03-23,03.15 PM,hit,hit,hit,hit,miss,BTC
310,2022-03-24,06.30 AM,miss,miss,miss,miss,miss,BTC
311,2022-03-24,05.30 PM,miss,miss,miss,miss,miss,BTC
312,2022-03-24,10.30 PM,miss,miss,miss,miss,miss,BTC
313,2022-03-26,1.15 AM,hit,hit,hit,hit,hit,ETH
314,2022-03-26,09.45 PM,hit,hit,hit,hit,hit,BTC
315,2022-03-29,06.15 PM,hit,hit,hit,hit,hit,BTC
316,2022-03-31,11.30 PM,miss,miss,miss,miss,miss,BTC
317,2022-04-03,12.45 AM,miss,miss,miss,miss,miss,BTC
318,2022-04-04,4.30 AM,miss,miss,miss,miss,miss,ETH
319,2022-04-10,05.30 PM,miss,miss,miss,miss,miss,BTC
320,2022-04-13,4.45 AM,miss,miss,miss,miss,miss,ETH
321,2022-04-13,7.00 PM,hit,hit,miss,miss,miss,ETH
322,2022-04-14,4.30 AM,hit,hit,hit,hit,hit,BTC
323,2022-04-22,11.45 PM,miss,miss,miss,miss,miss,ETH
324,2022-04-29,12.30 AM,hit,hit,hit,hit,hit,LTC
325,2022-04-30,8.45 PM,miss,miss,miss,miss,miss,ETH
326,2022-05-01,11.30 PM,hit,miss,miss,miss,miss,ETH
327,2022-05-10,10.00 PM,hit,miss,miss,miss,miss,ETH
328,2022-05-14,02.45 AM,miss,miss,miss,miss,miss,BTC
329,2022-05-16,7.30 AM,hit,hit,hit,miss,miss,BTC
330,2022-05-17,10.00 PM,miss,miss,miss,miss,miss,ETH
331,2022-05-17,10.15 PM,miss,miss,miss,miss,miss,BTC
332,2022-05-19,07.00 PM,miss,miss,miss,miss,miss,BTC
333,2022-05-22,4.30 PM,miss,miss,miss,miss,miss,LTC
334,2022-05-22,8.30 PM,miss,miss,miss,miss,miss,BTC
335,2022-05-25,11.00 AM,hit,hit,hit,hit,hit,ETH
336,2022-05-25,10.15 PM,hit,hit,miss,miss,miss,BTC
337,2022-05-28,07.30 PM,miss,miss,miss,miss,miss,BTC
338,2022-05-30,5.30 AM,miss,miss,miss,miss,miss,BTC
339,2022-06-01,7.30 PM,hit,hit,hit,hit,hit,ETH
340,2022-06-05,06.30 PM,hit,hit,hit,hit,hit,BTC
341,2022-06-09,03.15 PM,hit,hit,hit,hit,hit,BTC
342,2022-06-09,5.15 PM,hit,hit,hit,hit,miss,ETH
343,2022-06-10,5.00 PM,miss,miss,miss,miss,miss,ETH
344,2022-06-12,9.45 PM,hit,hit,hit,hit,hit,ETH
345,2022-06-16,8.30 AM,hit,hit,hit,hit,miss,LTC
346,2022-06-18,3.30 PM,miss,miss,miss,miss,miss,BTC
347,2022-06-19,2.30 AM,hit,hit,hit,hit,hit,LTC
348,2022-06-22,05.15 AM,miss,miss,miss,miss,miss,BTC
349,2022-06-22,4.30 PM,hit,hit,hit,hit,hit,LTC
350,2022-06-27,05.45 PM,hit,hit,hit,hit,hit,BTC
351,2022-06-27,11.30 PM,miss,miss,miss,miss,miss,LTC
352,2022-06-28,03.00 PM,hit,hit,hit,hit,hit,BTC
353,2022-06-29,12.45 PM,hit,hit,miss,miss,miss,BTC
354,2022-07-01,6.30 AM,miss,miss,miss,miss,miss,ETH
355,2022-07-01,8.30 AM,hit,hit,hit,hit,hit,LTC
356,2022-07-04,6.30PM,miss,miss,miss,miss,miss,BTC
357,2022-07-10,04.15 AM,hit,hit,hit,hit,hit,BTC
358,2022-07-16,04.45 PM,hit,hit,hit,hit,hit,BTC
359,2022-07-23,12.15 AM,miss,miss,miss,miss,miss,ETH
360,2022-07-23,7.30 AM,miss,miss,miss,miss,miss,LTC
361,2022-07-24,10.30 AM,miss,miss,miss,miss,miss,BTC
362,2022-07-24,11.30 AM,hit,hit,miss,miss,miss,BTC
363,2022-07-30,6.30 PM,miss,miss,miss,miss,miss,ETH
364,2022-08-01,12.30 PM,miss,miss,miss,miss,miss,LTC
365,2022-08-02,3.30 PM,hit,hit,hit,hit,hit,LTC
366,2022-08-02,11.00 PM,hit,hit,miss,miss,miss,BTC
367,2022-08-05,3.30 PM,miss,miss,miss,miss,miss,BTC
368,2022-08-07,7.45 PM,miss,miss,miss,miss,miss,ETH
369,2022-08-07,07.45 PM,miss,miss,miss,miss,miss,BTC
370,2022-08-19,7.30 AM,miss,miss,miss,miss,miss,LTC
371,2022-08-21,4.15 PM,hit,hit,hit,hit,hit,ETH
372,2022-08-23,05.45 AM,miss,miss,miss,miss,miss,BTC
373,2022-08-23,01.45 PM,miss,miss,miss,miss,miss,BTC
374,2022-08-24,9.45 PM,miss,miss,miss,miss,miss,ETH
375,2022-08-25,05.45 PM,hit,hit,hit,hit,hit,BTC
376,2022-08-27,10.15 PM,miss,miss,miss,miss,miss,ETH
377,2022-09-01,12.30 AM,miss,miss,miss,miss,miss,BTC
378,2022-09-06,08.30 AM,miss,miss,miss,miss,miss,BTC
379,2022-09-12,8.30 PM,miss,miss,miss,miss,miss,BTC
380,2022-09-15,09.00 PM,miss,miss,miss,miss,miss,BTC
381,2022-09-16,1.30 AM,miss,miss,miss,miss,miss,LTC
382,2022-09-17,8.15 PM,miss,miss,miss,miss,miss,ETH
383,2022-09-22,1.30 AM,miss,miss,miss,miss,miss,LTC
384,2022-09-25,08.45 PM,miss,miss,miss,miss,miss,BTC
385,2022-10-06,10.00 PM,miss,miss,miss,miss,miss,BTC
386,2022-10-09,3.30 PM,miss,miss,miss,miss,miss,BTC
387,2022-10-09,05.00 PM,hit,hit,hit,hit,hit,BTC
388,2022-10-10,9.00 AM,hit,hit,hit,hit,hit,ETH
389,2022-10-10,1.30 PM,hit,hit,hit,hit,hit,LTC
390,2022-10-16,5.30 AM,hit,hit,hit,miss,miss,LTC
391,2022-10-20,2.30 PM,miss,miss,miss,miss,miss,LTC
392,2022-10-22,07.00 PM,hit,hit,hit,hit,miss,BTC
393,2022-10-26,1.30 AM,miss,miss,miss,miss,miss,BTC
394,2022-10-28,6.30 AM,miss,miss,miss,miss,miss,LTC
